day,Date,calf,behaviour,time_budget,bouts_number,bouts_duration
Day1,07/03/2023,1403,Resting lying,62.0744574,46,19.19662936
Day1,07/03/2023,1403,Ruminating,3.089591049,1,4.881685612
Day1,07/03/2023,1403,Eating,0.483611177,26,2.127096315
Day1,07/03/2023,1403,Abnormal Behavior,14.4665113,15,5.598006308
Day1,07/03/2023,1403,Grooming,4.738742146,20,5.22964817
Day1,07/03/2023,1403,Resting Standing,15.89308991,21,12.5861068
Day1,07/03/2023,1403,Sniffing/exploring,12.10518901,21,6.975799497
Day1,07/03/2023,1403,Playing,1.283564815,4,4.620833333
Day2,08/03/2023,1403,Resting lying,64.63727631,48,11.12655612
Day2,08/03/2023,1403,Ruminating,0.274260439,1,5.3
Day2,08/03/2023,1403,Eating,5.641773154,23,17.54900096
Day2,08/03/2023,1403,Abnormal Behavior,4.104136763,12,13.47702823
Day2,08/03/2023,1403,Grooming,2.44615796,24,0.816725734
Day2,08/03/2023,1403,Resting Standing,16.24917513,25,10.91634204
Day2,08/03/2023,1403,Sniffing/exploring,9.99350362,23,4.169690132
Day2,08/03/2023,1403,Playing,4.283564815,4,4.620833333
Day3,09/03/2023,1403,Resting lying,36.90431309,20,34.64810476
Day3,09/03/2023,1403,Ruminating,8.521207727,8,14.1290437
Day3,09/03/2023,1403,Eating,25.56911264,17,11.01735269
Day3,09/03/2023,1403,Abnormal Behavior,3.053947341,5,8.936827438
Day3,09/03/2023,1403,Grooming,7.903809918,18,4.295533119
Day3,09/03/2023,1403,Resting Standing,20.18664814,17,16.55258404
Day3,09/03/2023,1403,Sniffing/exploring,12.12604736,9,8.895246973
Day3,09/03/2023,1403,Playing,7.447466854,5,23.74776582
Day1,07/03/2023,1443,Resting lying,38.55374512,13,74.45287851
Day1,07/03/2023,1443,Ruminating,18.07937299,6,48.59664393
Day1,07/03/2023,1443,Eating,15.3817834,13,21.01246646
Day1,07/03/2023,1443,Abnormal Behavior,0.5,1,1.01
Day1,07/03/2023,1443,Grooming,5.93182679,28,3.795539412
Day1,07/03/2023,1443,Resting Standing,9.731992183,15,15.34951119
Day1,07/03/2023,1443,Sniffing/exploring,11.70962649,21,8.2034349
Day1,07/03/2023,1443,Playing,3.234826269,7,1.973768896
Day2,08/03/2023,1443,Resting lying,35.92914749,11,48.27329848
Day2,08/03/2023,1443,Ruminating,20.57893458,8,39.17303468
Day2,08/03/2023,1443,Eating,10.85736443,14,17.10998828
Day2,08/03/2023,1443,Abnormal Behavior,0.2,1,0.76
Day2,08/03/2023,1443,Grooming,6.853483013,26,3.057334263
Day2,08/03/2023,1443,Resting Standing,15.21538323,15,13.79750564
Day2,08/03/2023,1443,Sniffing/exploring,12.29429942,23,7.131267834
Day2,08/03/2023,1443,Playing,4.491327018,15,19.38806942
Day3,09/03/2023,1443,Resting lying,23.34677584,7,74.30342207
Day3,09/03/2023,1443,Ruminating,16.43976957,11,32.3724551
Day3,09/03/2023,1443,Eating,25.42943768,12,18.24325597
Day3,09/03/2023,1443,Abnormal Behavior,0.1,1,0.52
Day3,09/03/2023,1443,Grooming,5.535429875,25,3.843884007
Day3,09/03/2023,1443,Resting Standing,12.85902542,17,14.89147335
Day3,09/03/2023,1443,Sniffing/exploring,12.20714526,25,6.383969505
Day3,09/03/2023,1443,Playing,9.21499159,6,10.54878687
Day1,07/03/2023,1451,Resting lying,39.67434418,23,34.44545716
Day1,07/03/2023,1451,Ruminating,10.6943116,1,14.46190766
Day1,07/03/2023,1451,Eating,19.45651016,20,19.49897766
Day1,07/03/2023,1451,Abnormal Behavior,0.966435185,2,1.479166667
Day1,07/03/2023,1451,Grooming,7.00374958,21,5.119330058
Day1,07/03/2023,1451,Resting Standing,22.38158386,28,16.88749886
Day1,07/03/2023,1451,Sniffing/exploring,11.34327933,19,9.792356566
Day1,07/03/2023,1451,Playing,11.66791914,10,17.73430477
Day2,08/03/2023,1451,Resting lying,38.42383033,9,25.70860425
Day2,08/03/2023,1451,Ruminating,4.372997156,5,16.95184629
Day2,08/03/2023,1451,Eating,26.32277784,23,10.76660276
Day2,08/03/2023,1451,Abnormal Behavior,2.517207873,2,1.255114045
Day2,08/03/2023,1451,Grooming,6.343908215,19,7.263106491
Day2,08/03/2023,1451,Resting Standing,24.42267462,20,14.06970358
Day2,08/03/2023,1451,Sniffing/exploring,10.63387835,20,12.01152068
Day2,08/03/2023,1451,Playing,8.135457533,11,17.9103298
Day3,09/03/2023,1451,Resting lying,52.70302826,59,23.53356906
Day3,09/03/2023,1451,Ruminating,0.799019663,2,1.45
Day3,09/03/2023,1451,Eating,3.71882656,21,17.45538109
Day3,09/03/2023,1451,Abnormal Behavior,8.435185185,12,10.12222222
Day3,09/03/2023,1451,Grooming,4.829182528,20,2.76438221
Day3,09/03/2023,1451,Resting Standing,19.58481133,19,13.42159242
Day3,09/03/2023,1451,Sniffing/exploring,11.78307703,31,8.176061692
Day3,09/03/2023,1451,Playing,2.872987457,8,3.66364253
